Genero;Estrato;Proceso;Experiencia;Rendimiento;Salario
Hombre;Baja;Operativo;2;94;1720000
Mujer;Media;Operativo;2;83;2160000
Hombre;Alta;Operativo;3;82;1738000
Mujer;Baja;Operativo;5;62;2634400
Hombre;Media;Administrativo;2;79;2637200
Hombre;Baja;Administrativo;7;61;2698000
Hombre;Baja;Operativo;3;53;1372800
Mujer;Baja;Administrativo;2;46;3142400
Mujer;Media;Administrativo;4;47;2315600
Hombre;Media;Administrativo;6;65;1546000
Mujer;Media;Operativo;1;50;2315600
Hombre;Alta;Operativo;2;63;2382400
Hombre;Media;Operativo;6;100;1519200
Mujer;Alta;Administrativo;1;83;2586000
Hombre;Alta;Administrativo;8;75;2088400
Hombre;Media;Operativo;3;56;3346000
Mujer;Alta;Operativo;9;69;2610000
Hombre;Media;Operativo;7;68;1909600
Mujer;Baja;Administrativo;1;75;3698000
Hombre;Media;Operativo;4;65;2574000
Hombre;Baja;Administrativo;5;77;1516800
Mujer;Baja;Operativo;4;72;1942400
Mujer;Media;Administrativo;5;67;1827200
Mujer;Media;Administrativo;9;62;1471200
Hombre;Alta;Administrativo;2;79;2774000
Hombre;Media;Operativo;1;67;1720000
Hombre;Media;Administrativo;14;96;2160000
Mujer;Alta;Operativo;10;68;1738000
Hombre;Baja;Operativo;7;52;2634400
Mujer;Baja;Administrativo;10;55;2637200
Hombre;Media;Operativo;8;83;2698000
Mujer;Media;Administrativo;2;65;1372800
Hombre;Media;Administrativo;19;75;3142400
Mujer;Media;Administrativo;4;98;2315600
Mujer;Media;Operativo;15;79;1546000
Hombre;Alta;Administrativo;12;65;2315600
Mujer;Media;Administrativo;15;81;2382400
Hombre;Alta;Operativo;20;61;1519200
Hombre;Baja;Operativo;4;82;2586000
Mujer;Baja;Administrativo;7;96;2088400
Hombre;Alta;Operativo;11;80;3346000
Mujer;Media;Administrativo;1;93;2610000
Mujer;Media;Administrativo;6;50;1909600
Hombre;Media;Administrativo;4;77;3698000
Hombre;Alta;Operativo;5;91;2574000
Hombre;Media;Administrativo;1;85;1516800
Mujer;Media;Operativo;13;76;1942400
Hombre;Baja;Operativo;13;50;1827200
Hombre;Media;Operativo;5;97;1471200
Mujer;Media;Administrativo;11;66;2774000
Mujer;Media;Operativo;8;82;1738000
Hombre;Baja;Administrativo;15;69;2634400
Hombre;Baja;Administrativo;14;64;2637200
Mujer;Baja;Administrativo;12;57;2698000
Mujer;Media;Operativo;3;84;1372800
Hombre;Alta;Administrativo;15;83;3142400
Mujer;Alta;Operativo;8;75;1738000
Mujer;Media;Administrativo;9;93;2634400
Hombre;Alta;Operativo;4;60;2637200
Hombre;Baja;Operativo;13;61;2698000
Hombre;Media;Administrativo;18;91;1372800
Hombre;Alta;Operativo;16;78;3142400
Hombre;Media;Administrativo;12;77;1471200
Hombre;Alta;Administrativo;15;89;2774000
Mujer;Baja;Operativo;6;80;1720000
Mujer;Baja;Operativo;9;89;2160000
Mujer;Baja;Operativo;9;56;1738000
Hombre;Media;Administrativo;10;50;2634400
Hombre;Baja;Operativo;1;66;2637200
Hombre;Alta;Administrativo;4;80;2698000
Mujer;Baja;Operativo;13;78;1372800
Mujer;Media;Operativo;13;60;3142400
Mujer;Media;Operativo;7;74;2315600
Hombre;Media;Operativo;13;75;1546000
Hombre;Alta;Administrativo;11;50;2315600
Mujer;Alta;Administrativo;6;58;2382400
Hombre;Media;Administrativo;8;75;1471200
Hombre;Alta;Operativo;10;85;2774000
Hombre;Baja;Operativo;12;69;1720000
Mujer;Baja;Operativo;3;55;2160000
Mujer;Media;Administrativo;12;95;1738000
Hombre;Alta;Administrativo;14;70;2634400
Hombre;Media;Administrativo;13;50;2637200
Mujer;Baja;Administrativo;18;93;2698000
Hombre;Alta;Administrativo;15;73;1372800
Mujer;Media;Administrativo;8;87;3142400
Hombre;Alta;Operativo;8;98;2315600
Mujer;Alta;Administrativo;10;68;1546000
Hombre;Alta;Administrativo;4;63;2315600
Hombre;Media;Operativo;20;83;2382400
Mujer;Media;Operativo;2;65;1720000
Mujer;Baja;Operativo;1;65;2160000
Mujer;Alta;Operativo;13;84;1738000
Mujer;Baja;Administrativo;20;90;2634400
Mujer;Alta;Operativo;12;81;2637200
Mujer;Baja;Administrativo;17;57;2698000
Hombre;Alta;Operativo;2;95;1372800
Hombre;Media;Operativo;6;91;3142400
Hombre;Baja;Administrativo;2;52;2315600
Hombre;Baja;Operativo;20;92;1546000
Mujer;Media;Administrativo;10;96;2315600
Hombre;Baja;Administrativo;6;76;2382400
Hombre;Alta;Operativo;13;69;1519200
Hombre;Media;Administrativo;17;64;2586000
Hombre;Media;Operativo;16;60;2088400
Mujer;Media;Operativo;12;95;3346000
Hombre;Baja;Administrativo;4;81;2610000
Mujer;Media;Operativo;4;90;1909600
Mujer;Media;Operativo;1;88;3698000
Hombre;Baja;Operativo;4;55;2574000
Mujer;Media;Operativo;19;63;2315600
Hombre;Alta;Administrativo;12;96;2382400
Hombre;Alta;Administrativo;4;52;1720000
Hombre;Baja;Administrativo;17;52;2160000
Hombre;Alta;Administrativo;19;86;1738000
Hombre;Media;Operativo;5;85;2315600
Mujer;Alta;Operativo;20;71;2382400
Hombre;Alta;Administrativo;17;56;1720000
Hombre;Alta;Operativo;1;62;2160000
Hombre;Alta;Administrativo;19;58;1738000
