edad,antiguedad_cliente,siniestros_ult_3_anios,tipo_vehiculo,uso_vehiculo,zona_residencia,tiene_garage,riesgo_asegurado
56,1,2,auto,comercial,rural,si,bajo
69,12,2,camioneta,particular,urbana,no,medio
46,10,0,camioneta,comercial,urbana,si,medio
32,10,0,camioneta,particular,suburbana,no,bajo
60,15,1,auto,comercial,suburbana,no,medio
25,10,2,camioneta,comercial,suburbana,si,bajo
38,18,2,auto,particular,suburbana,si,bajo
56,14,0,moto,comercial,urbana,no,medio
36,15,0,camioneta,particular,suburbana,si,bajo
40,10,3,camioneta,particular,suburbana,si,bajo
28,15,3,camioneta,particular,rural,no,medio
28,7,0,moto,particular,suburbana,no,bajo
41,3,1,camioneta,particular,suburbana,no,bajo
70,7,2,auto,comercial,suburbana,no,medio
53,3,0,auto,particular,urbana,no,medio
57,2,2,camioneta,comercial,rural,si,bajo
41,2,1,camioneta,comercial,suburbana,no,medio
20,17,0,moto,particular,suburbana,no,medio
39,18,2,moto,comercial,rural,no,medio
70,18,4,moto,particular,suburbana,si,medio
19,4,2,camioneta,comercial,urbana,no,alto
41,17,0,moto,comercial,suburbana,no,medio
61,9,1,moto,comercial,urbana,no,medio
47,5,0,auto,particular,urbana,si,bajo
55,0,2,moto,comercial,suburbana,no,medio
19,4,3,auto,particular,rural,no,medio
38,8,4,auto,comercial,urbana,no,alto
50,11,3,moto,comercial,rural,si,medio
29,13,3,auto,comercial,suburbana,si,medio
39,1,2,camioneta,comercial,urbana,si,medio
61,16,0,camioneta,particular,suburbana,si,bajo
42,13,2,moto,particular,rural,no,bajo
66,12,4,camioneta,comercial,suburbana,no,alto
44,8,3,auto,comercial,suburbana,si,medio
59,14,4,camioneta,particular,urbana,si,medio
45,14,1,moto,particular,suburbana,no,bajo
33,10,1,moto,particular,suburbana,no,bajo
32,15,1,auto,particular,suburbana,si,bajo
64,16,2,moto,comercial,urbana,si,medio
68,3,1,camioneta,comercial,rural,si,medio
61,0,1,moto,particular,rural,si,bajo
72,7,0,auto,particular,suburbana,no,medio
69,16,3,moto,particular,urbana,si,medio
74,2,2,camioneta,particular,suburbana,si,bajo
20,19,1,auto,particular,rural,no,medio
54,14,1,camioneta,particular,urbana,no,medio
68,14,2,auto,comercial,rural,no,medio
24,13,5,moto,comercial,rural,no,alto
38,13,0,auto,comercial,urbana,no,medio
26,1,0,auto,particular,urbana,si,bajo
56,12,2,moto,particular,suburbana,si,bajo
35,13,1,camioneta,particular,suburbana,si,bajo
21,18,2,moto,comercial,rural,no,medio
42,6,1,auto,particular,urbana,si,bajo
31,2,1,moto,particular,urbana,no,medio
67,14,2,auto,comercial,suburbana,si,medio
26,13,2,moto,particular,rural,si,bajo
43,10,1,moto,comercial,rural,no,medio
70,14,0,camioneta,comercial,suburbana,no,medio
19,12,1,auto,particular,urbana,si,medio
37,17,2,camioneta,comercial,suburbana,si,bajo
45,5,1,auto,particular,suburbana,si,bajo
64,2,3,moto,comercial,suburbana,si,medio
24,18,0,auto,particular,suburbana,si,bajo
61,14,5,camioneta,comercial,urbana,no,alto
25,4,0,camioneta,particular,suburbana,no,bajo
64,9,2,camioneta,comercial,urbana,no,medio
52,6,2,auto,comercial,suburbana,no,medio
31,16,1,camioneta,comercial,rural,si,bajo
34,6,3,camioneta,particular,urbana,si,medio
53,11,2,camioneta,particular,rural,no,bajo
67,16,0,moto,comercial,suburbana,si,medio
57,12,2,moto,particular,suburbana,no,bajo
21,19,0,auto,comercial,suburbana,si,medio
19,3,0,auto,particular,urbana,si,medio
23,9,2,camioneta,comercial,rural,si,medio
71,2,1,moto,particular,urbana,no,medio
59,8,3,camioneta,comercial,urbana,no,alto
21,12,2,camioneta,comercial,suburbana,no,medio
71,17,3,moto,comercial,rural,no,alto
46,14,0,moto,comercial,suburbana,si,bajo
35,3,2,moto,particular,urbana,si,bajo
43,14,0,auto,comercial,suburbana,si,bajo
61,1,0,auto,particular,rural,si,bajo
51,14,1,camioneta,particular,suburbana,no,bajo
27,7,1,auto,comercial,rural,si,bajo
53,7,1,moto,particular,rural,si,bajo
31,16,1,moto,particular,suburbana,si,bajo
48,11,1,auto,particular,urbana,no,medio
65,18,3,camioneta,comercial,suburbana,no,medio
32,9,1,camioneta,particular,urbana,no,medio
25,8,4,auto,particular,urbana,si,medio
31,4,1,camioneta,comercial,suburbana,no,medio
40,5,2,camioneta,comercial,urbana,si,medio
74,19,1,camioneta,particular,urbana,si,medio
57,1,1,moto,comercial,suburbana,si,bajo
38,12,2,moto,particular,suburbana,no,bajo
33,5,3,auto,particular,suburbana,no,medio
